Round,Accuracy,Representation,Model
8,0.5050666666666667,STAT,CNN
1,1.0,STAT,SIAMESE
2,1.0,STAT,SIAMESE
3,0.6536,STAT,SIAMESE
4,0.5022666666666666,STAT,SIAMESE
5,0.4988,STAT,SIAMESE
6,0.5026666666666667,STAT,SIAMESE
7,0.4988,STAT,SIAMESE
8,0.4921333333333333,STAT,SIAMESE
1,1.0,STAT,MLP
2,1.0,STAT,MLP
4,1.0,STAT,MLP
8,1.0,STAT,MLP
16,1.0,STAT,MLP
32,1.0,STAT,MLP
64,1.0,STAT,MLP
128,0.9626666666666667,STAT,MLP
256,0.5,STAT,MLP
1,1.0,STAT,CNN
2,1.0,STAT,CNN
4,1.0,STAT,CNN
8,1.0,STAT,CNN
16,1.0,STAT,CNN
32,1.0,STAT,CNN
64,1.0,STAT,CNN
128,0.9622666666666667,STAT,CNN
256,0.5,STAT,CNN
1,1.0,STAT,SIAMESE
2,1.0,STAT,SIAMESE
4,1.0,STAT,SIAMESE
8,1.0,STAT,SIAMESE
16,1.0,STAT,SIAMESE
32,1.0,STAT,SIAMESE
64,1.0,STAT,SIAMESE
128,0.9644,STAT,SIAMESE
256,0.5,STAT,SIAMESE
1,1.0,STAT,MLP
2,0.49666666666666665,STAT,MLP
3,0.4961333333333333,STAT,MLP
4,0.4942666666666667,STAT,MLP
5,0.5088,STAT,MLP
6,0.4964,STAT,MLP
7,0.4982666666666667,STAT,MLP
8,0.49946666666666667,STAT,MLP
1,0.9993333333333333,STAT,CNN
2,0.4856,STAT,CNN
3,0.4972,STAT,CNN
4,0.49866666666666665,STAT,CNN
5,0.49866666666666665,STAT,CNN
6,0.5001333333333333,STAT,CNN
7,0.5064,STAT,CNN
8,0.4988,STAT,CNN
1,1.0,STAT,SIAMESE
2,0.49333333333333335,STAT,SIAMESE
3,0.5016,STAT,SIAMESE
4,0.4945333333333333,STAT,SIAMESE
5,0.5089333333333333,STAT,SIAMESE
6,0.49946666666666667,STAT,SIAMESE
7,0.48706666666666665,STAT,SIAMESE
8,0.49946666666666667,STAT,SIAMESE
1,1.0,STAT,MLP
2,0.5029333333333333,STAT,MLP
3,0.5008,STAT,MLP
4,0.4962666666666667,STAT,MLP
5,0.49133333333333334,STAT,MLP
6,0.4952,STAT,MLP
7,0.49773333333333336,STAT,MLP
8,0.5012,STAT,MLP
1,0.9993333333333333,STAT,CNN
2,0.492,STAT,CNN
3,0.5013333333333333,STAT,CNN
4,0.4956,STAT,CNN
5,0.4964,STAT,CNN
6,0.5068,STAT,CNN
7,0.4992,STAT,CNN
8,0.5022666666666666,STAT,CNN
1,1.0,STAT,SIAMESE
2,0.5021333333333333,STAT,SIAMESE
3,0.5026666666666667,STAT,SIAMESE
4,0.5062666666666666,STAT,SIAMESE
5,0.49733333333333335,STAT,SIAMESE
6,0.5045333333333333,STAT,SIAMESE
7,0.5001333333333333,STAT,SIAMESE
8,0.49733333333333335,STAT,SIAMESE
